ID,year,score,stu_count,rank,STUDENT_POOL_ID
230,2014,653,38,472,1
231,2014,652,36,508,1
232,2014,651,28,536,1
233,2014,650,39,575,1
234,2014,649,50,625,1
235,2014,648,48,673,1
236,2014,647,46,719,1
237,2014,646,45,764,1
238,2014,645,60,824,1
239,2014,644,49,873,1
240,2014,643,46,919,1
241,2014,642,66,985,1
242,2014,641,62,1047,1
243,2014,640,71,1118,1
244,2014,639,79,1197,1
245,2014,638,69,1266,1
246,2014,637,73,1339,1
247,2014,636,78,1417,1
248,2014,635,76,1493,1
249,2014,634,73,1566,1
250,2014,633,96,1662,1
251,2014,632,73,1735,1
252,2014,631,92,1827,1
253,2014,630,111,1938,1
254,2014,629,100,2038,1
255,2014,628,98,2136,1
256,2014,627,104,2240,1
257,2014,626,102,2342,1
258,2014,625,108,2450,1
259,2014,624,109,2559,1
260,2014,623,134,2693,1
261,2014,622,118,2811,1
262,2014,621,103,2914,1
263,2014,620,120,3034,1
264,2014,619,129,3163,1
265,2014,618,140,3303,1
266,2014,617,131,3434,1
267,2014,616,138,3572,1
268,2014,615,134,3706,1
269,2014,614,142,3848,1
270,2014,613,155,4003,1
271,2014,612,144,4147,1
272,2014,611,140,4287,1
273,2014,610,152,4439,1
274,2014,609,162,4601,1
275,2014,608,174,4775,1
276,2014,607,184,4959,1
277,2014,606,165,5124,1
278,2014,605,199,5323,1
279,2014,604,181,5504,1
280,2014,603,185,5689,1
281,2014,602,178,5867,1
282,2014,601,226,6093,1
283,2014,600,212,6305,1
284,2014,599,191,6496,1
285,2014,598,201,6697,1
286,2014,597,234,6931,1
287,2014,596,214,7145,1
288,2014,595,224,7369,1
289,2014,594,212,7581,1
290,2014,593,230,7811,1
291,2014,592,231,8042,1
292,2014,591,213,8255,1
293,2014,590,237,8492,1
294,2014,589,253,8745,1
295,2014,588,214,8959,1
296,2014,587,210,9169,1
297,2014,586,237,9406,1
298,2014,585,255,9661,1
299,2014,584,252,9913,1
300,2014,583,241,10154,1
301,2014,582,247,10401,1
302,2014,581,271,10672,1
303,2014,580,272,10944,1
304,2014,579,262,11206,1
305,2014,578,296,11502,1
306,2014,577,271,11773,1
307,2014,576,301,12074,1
308,2014,575,278,12352,1
309,2014,574,297,12649,1
310,2014,573,293,12942,1
311,2014,572,319,13261,1
312,2014,571,304,13565,1
313,2014,570,309,13874,1
314,2014,569,284,14158,1
315,2014,568,296,14454,1
316,2014,567,312,14766,1
317,2014,566,320,15086,1
318,2014,565,327,15413,1
319,2014,564,266,15679,1
320,2014,563,293,15972,1
321,2014,562,326,16298,1
322,2014,561,323,16621,1
323,2014,560,340,16961,1
324,2014,559,292,17253,1
325,2014,558,353,17606,1
326,2014,557,354,17960,1
327,2014,556,331,18291,1
328,2014,555,329,18620,1
329,2014,554,306,18926,1
330,2014,553,343,19269,1
331,2014,552,370,19639,1
332,2014,551,366,20005,1
333,2014,550,349,20354,1
334,2014,549,369,20723,1
335,2014,548,363,21086,1
336,2014,547,347,21433,1
337,2014,546,390,21823,1
338,2014,545,367,22190,1
339,2014,544,355,22545,1
340,2014,543,385,22930,1
341,2014,542,381,23311,1
342,2014,541,378,23689,1
343,2014,540,337,24026,1
344,2014,539,390,24416,1
345,2014,538,365,24781,1
346,2014,537,388,25169,1
347,2014,536,383,25552,1
348,2014,535,370,25922,1
349,2014,534,401,26323,1
350,2014,533,403,26726,1
351,2014,532,404,27130,1
352,2014,531,397,27527,1
353,2014,530,412,27939,1
354,2014,529,403,28342,1
355,2014,528,381,28723,1
356,2014,527,415,29138,1
357,2014,526,401,29539,1
358,2014,525,400,29939,1
359,2014,524,414,30353,1
360,2014,523,398,30751,1
361,2014,522,409,31160,1
362,2014,521,414,31574,1
363,2014,520,413,31987,1
364,2014,519,440,32427,1
365,2014,518,442,32869,1
366,2014,517,417,33286,1
367,2014,516,419,33705,1
368,2014,515,410,34115,1
369,2014,514,461,34576,1
370,2014,513,411,34987,1
371,2014,512,415,35402,1
372,2014,511,383,35785,1
373,2014,510,430,36215,1
374,2014,509,403,36618,1
375,2014,508,438,37056,1
376,2014,507,427,37483,1
377,2014,506,459,37942,1
378,2014,505,413,38355,1
379,2014,504,419,38774,1
380,2013,701,1,1,1
381,2013,699,1,2,1
382,2013,698,1,3,1
383,2013,686,1,4,1
384,2013,685,1,5,1
385,2013,683,3,8,1
386,2013,682,1,9,1
387,2013,681,1,10,1
388,2013,678,2,12,1
389,2013,677,2,14,1
390,2013,676,1,15,1
391,2013,675,3,18,1
392,2013,674,2,20,1
393,2013,673,3,23,1
394,2013,672,2,25,1
395,2013,671,3,28,1
396,2013,670,4,32,1
397,2013,669,6,38,1
398,2013,668,3,41,1
399,2013,667,6,47,1
400,2013,666,5,52,1
401,2013,665,6,58,1
402,2013,664,3,61,1
403,2013,663,6,67,1
404,2013,662,9,76,1
405,2013,661,6,82,1
406,2013,660,4,86,1
407,2013,659,9,95,1
408,2013,658,9,104,1
409,2013,657,10,114,1
410,2013,656,10,124,1
411,2013,655,19,143,1
412,2013,654,16,159,1
413,2013,653,16,175,1
414,2013,652,18,193,1
415,2013,651,14,207,1
416,2013,650,24,231,1
417,2013,649,21,252,1
418,2013,648,15,267,1
419,2013,647,22,289,1
420,2013,646,30,319,1
421,2013,645,22,341,1
422,2013,644,24,365,1
423,2013,643,41,406,1
424,2013,642,35,441,1
425,2013,641,31,472,1
426,2013,640,37,509,1
427,2013,639,30,539,1
428,2013,638,40,579,1
429,2013,637,34,613,1
430,2013,636,29,642,1
431,2013,635,30,672,1
432,2013,634,31,703,1
433,2013,633,36,739,1
434,2013,632,40,779,1
435,2013,631,67,846,1
436,2013,630,60,906,1
437,2013,629,58,964,1
438,2013,628,59,1023,1
439,2013,627,53,1076,1
440,2013,626,58,1134,1
441,2013,625,77,1211,1
442,2013,624,57,1268,1
443,2013,623,60,1328,1
444,2013,622,70,1398,1
445,2013,621,68,1466,1
446,2013,620,71,1537,1
447,2013,619,87,1624,1
448,2013,618,86,1710,1
449,2013,617,83,1793,1
450,2013,616,78,1871,1
451,2013,615,102,1973,1
452,2013,614,89,2062,1
453,2013,613,100,2162,1
454,2013,612,103,2265,1
455,2013,611,83,2348,1
456,2013,610,101,2449,1
457,2013,609,113,2562,1
458,2013,608,126,2688,1
459,2013,607,113,2801,1
460,2013,606,134,2935,1
461,2013,605,140,3075,1
462,2013,604,137,3212,1
463,2013,603,154,3366,1
464,2013,602,129,3495,1
465,2013,601,130,3625,1
466,2013,600,155,3780,1
467,2013,599,147,3927,1
468,2013,598,141,4068,1
469,2013,597,162,4230,1
470,2013,596,173,4403,1
471,2013,595,154,4557,1
472,2013,594,174,4731,1
473,2013,593,213,4944,1
474,2013,592,191,5135,1
475,2013,591,183,5318,1
476,2013,590,162,5480,1
477,2013,589,183,5663,1
478,2013,588,190,5853,1
479,2013,587,168,6021,1
480,2013,586,186,6207,1
481,2013,585,195,6402,1
482,2013,584,204,6606,1
483,2013,583,203,6809,1
484,2013,582,215,7024,1
485,2013,581,224,7248,1
486,2013,580,211,7459,1
487,2013,579,221,7680,1
488,2013,578,252,7932,1
489,2013,577,217,8149,1
490,2013,576,233,8382,1
491,2013,575,249,8631,1
492,2013,574,226,8857,1
493,2013,573,225,9082,1
494,2013,572,282,9364,1
495,2013,571,268,9632,1
496,2013,570,263,9895,1
497,2013,569,260,10155,1
498,2013,568,287,10442,1
499,2013,567,254,10696,1
500,2013,566,273,10969,1
501,2013,565,293,11262,1
502,2013,564,267,11529,1
503,2013,563,268,11797,1
504,2013,562,315,12112,1
505,2013,561,320,12432,1
506,2013,560,293,12725,1
507,2013,559,308,13033,1
508,2013,558,329,13362,1
509,2013,557,305,13667,1
510,2013,556,339,14006,1
511,2013,555,316,14322,1
512,2013,554,298,14620,1
513,2013,553,320,14940,1
514,2013,552,335,15275,1
515,2013,551,321,15596,1
516,2013,550,312,15908,1
517,2013,549,342,16250,1
518,2013,548,361,16611,1
519,2013,547,373,16984,1
520,2013,546,357,17341,1
521,2013,545,345,17686,1
522,2013,544,357,18043,1
523,2013,543,365,18408,1
524,2013,542,360,18768,1
525,2013,541,359,19127,1
526,2013,540,334,19461,1
527,2013,539,357,19818,1
528,2013,538,371,20189,1
529,2013,537,359,20548,1
530,2013,536,356,20904,1
531,2013,535,387,21291,1
532,2013,534,383,21674,1
533,2013,533,365,22039,1
534,2013,532,391,22430,1
535,2013,531,383,22813,1
536,2013,530,402,23215,1
537,2013,529,360,23575,1
538,2013,528,394,23969,1
539,2013,527,391,24360,1
540,2013,526,404,24764,1
541,2013,525,401,25165,1
542,2013,524,387,25552,1
543,2013,523,418,25970,1
544,2013,522,438,26408,1
545,2013,521,411,26819,1
546,2013,520,444,27263,1
547,2013,519,411,27674,1
548,2013,518,436,28110,1
549,2013,517,406,28516,1
550,2013,516,434,28950,1
551,2013,515,421,29371,1
552,2013,514,461,29832,1
553,2013,513,427,30259,1
554,2013,512,479,30738,1
555,2013,511,413,31151,1
556,2013,510,456,31607,1
557,2013,509,465,32072,1
558,2013,508,477,32549,1
559,2013,507,421,32970,1
560,2013,506,453,33423,1
561,2013,505,458,33881,1
562,2013,504,442,34323,1
563,2013,503,428,34751,1
564,2013,502,492,35243,1
565,2013,501,481,35724,1
566,2013,500,481,36205,1
567,2013,499,487,36692,1
568,2013,498,419,37111,1
569,2013,497,451,37562,1
